"Name_source","Name_English","Name_Indo","Name_Other","Manager","Investor_1","Investor_2","Sources","ScrapedContent"
"Kawasan Industri Aceh - Ladong","","Kawasan Industri Aceh Ladong","","PT. Pembangunan Aceh","","","https://regionalinvestment.bkpm.go.id/pir/peluang-investasi/detail/?id=864
(Broken) https://kemenperin.go.id/artikel/22941/Kemenperin-Dorong-Masuknya-Investor-ke-Kawasan-Industri-Ladong 
https://www.acehportal.com/news/kawasan-industri-aceh-kia-ladong-jadi-magnet-pengembangan-industri-di-aceh/index.html 
https://www.youtube.com/watch?v=QtTH5HiZNc0
https://humas.acehprov.go.id/24697-2/
(Archived link, 11/27/23) https://web.archive.org/web/20231127172956/https://kemenperin.go.id/kawasan 
https://regionalinvestment.bkpm.go.id/pir/peluang-investasi/detail/?id=864#areaPeta
",""
"Bintan Inti Industrial Estate","Bintan Inti Industrial Estate","","","PT. Bintan Inti Industrial Estate","Gallant Venture Ltd.","","(Archived link, 11/27/23) https://web.archive.org/web/20231127172956/https://kemenperin.go.id/kawasan 
(Archived link, 11/28/23) https://web.archive.org/web/20231128184118/https://business-indonesia.org/data-estate
http://www.gallantventure.com/
http://www.bintanindustrial.com/#/media/marketplace
https://www.liputan6.com/bisnis/read/3174961/dukung-kawasan-industri-pln-pasok-listrik-di-bintan?page=2
https://petrominer.com/meski-terkendala-ijin-pln-siap-penuhi-listrik-di-bintan/
(Archived link, 5/18/2024) https://web.archive.org/web/20240518022508/https://www.energytransitionpartnership.org/uploads/2022/09/The-Electricity-Infrastructure-Planning-and-Investment-Needs-to-Support-Energy-Transition.pdf
http://www.gallantventure.com/wbn/slot/u307/gallantventure.com.sg/www/brochure.htm
https://gallantventure.listedcompany.com/news.html/id/2457792",""
"Kawasan Industri Wiraraja","","Kawasan Industri Wiraraja","","PT. Wiraraja Indonesia","","","https://bpbatam.go.id/wp-content/uploads/2022/07/E-BOOK-Batam-industrial-estate-2022.pdf
https://wiraraja.com/
https://gowest.id/wiraraja-indonesia-segera-resmikan-pabrik-energi-baru-terbarukan/
https://zonaebt.com/bisnis/mengenal-perusahaan-yang-baru-saja-diresmikan-di-kawasan-industri-wiraraja-batam/",""
"Batamindo Industrial Park","Batamindo Industrial Park","","","PT. Batamindo Investment Cakrawala","Gallant Venture Ltd.","","https://bpbatam.go.id/wp-content/uploads/2022/07/E-BOOK-Batam-industrial-estate-2022.pdf
(Archived link, 11/27/23) https://web.archive.org/web/20231127172956/https://kemenperin.go.id/kawasan 
http://www.gallantventure.com/
http://www.batamindoindustrial.com/#/batamindo/about
https://batampos.co.id/2018/12/15/energi-baik-yang-menarik-investasi-dan-memacu-pertumbuhan-ekonomi/
(Archived link, 5/18/2024) https://web.archive.org/web/20240518022508/https://www.energytransitionpartnership.org/uploads/2022/09/The-Electricity-Infrastructure-Planning-and-Investment-Needs-to-Support-Energy-Transition.pdf
http://www.gallantventure.com/wbn/slot/u307/gallantventure.com.sg/www/brochure.htm
https://gallantventure.listedcompany.com/news.html/id/2457792
https://hub.unido.org/sites/default/files/publications/Best%20Practice%20Issue%20I_Rooftop%20Solar%20PV.pdf",""
"Panbil Industrial Estate","Panbil Industrial Estate","","","PT. Nusatama Properta Panbil","","","https://bpbatam.go.id/wp-content/uploads/2022/07/E-BOOK-Batam-industrial-estate-2022.pdf
https://inis.iaea.org/collection/NCLCollectionStore/_Public/52/095/52095812.pdf
https://energy.economictimes.indiatimes.com/news/oil-and-gas/indonesias-panbil-group-eyes-lng-import-facility-at-karimun/77584974
https://panbil.com/bisnis/panbil-utilitas-sentosa/
(Archived link, 11/27/23) https://web.archive.org/web/20231127172956/https://kemenperin.go.id/kawasan 
http://www.gallantventure.com/
(Archived link, 11/28/23) https://web.archive.org/web/20231128184118/https://business-indonesia.org/data-estate
(Archived link, 8/3/23) https://web.archive.org/web/20230803225319/https://panbil.com/
(Archived link, 5/18/2024) https://web.archive.org/web/20240518022508/https://www.energytransitionpartnership.org/uploads/2022/09/The-Electricity-Infrastructure-Planning-and-Investment-Needs-to-Support-Energy-Transition.pdf",""
