LocID,LocName,Lat,Long,PortsUnknown,PortsAvail,PortsInUse,PortsWorking,PortsOffline,PortsPending,Level3Ports,Level2Ports,Level1Ports,isPassportEnabled,isEvCloud,NetCount,NetTesla,FirstOfNetCode,AccessCode,LocationTag,address,OSMPlaceType
69291.0,"""Kato Escape Room - Tesla Destination""",44.162203,-94.007453,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,1.0,1.0,12.0,0.0,,"619 South Front Street, Mankato, Minnesota 56001, United States",Unknown
81723.0,"""2037 | BSR | VSMPE | 7390 de la Roche""",45.544624,-73.614553,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,,1.0,0.0,4.0,2.0,,"7390 Rue De La Roche, Montréal, Quebec H2R 2T3, Canada",Circuit électrique
120158.0,"""Palomar Medical Center West Parking Lot - Escondido CA""",33.12089,-117.122246,0.0,22.0,7.0,0.0,1.0,0.0,0.0,30.0,0.0,1.0,,1.0,0.0,2.0,2.0,,"640 Allenwood Lane, Escondido, California 92029, United States",Palomar Medical Center
64561.0,"""Oakhurst""",33.760116,-84.303466,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,,1.0,0.0,2.0,2.0,,"372 Mead Road, Decatur, Georgia 30030, United States",Ford's BBQ
144516.0,"""390 North Orange Avenue Garage""",28.547132,-81.380218,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,,1.0,0.0,2.0,2.0,,"390 North Orange Avenue, Orlando, Florida 32801, United States",Unknown
101509.0,"""Municipalité de Saint-Antoine-de-L'Isle-aux-Grues""",47.0715512,-70.5391409,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,,1.0,0.0,4.0,2.0,,"258 Chemin Du Roi, L'Isle-aux-Grues, Quebec G0R 1P0, Canada",Unknown
85536.0,"""Cloudsplitter Outfitters LLC""",43.966471,-74.130182,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,,1.0,0.0,22.0,2.0,,"5300 State Highway 28n, Newcomb, New York 12852, United States",Unknown
133173.0,"""22330 Cactus Avenue - Supercharger""",33.9105668,-117.2733601,0.0,0.0,0.0,12.0,0.0,0.0,12.0,0.0,0.0,0.0,,1.0,12.0,12.0,2.0,,"22330 Cactus Avenue, Moreno Valley, California 92553, United States",Unknown
141646.0,"""Blue Diamond Growers""",38.584517,-121.479955,0.0,1.0,15.0,0.0,0.0,0.0,0.0,16.0,0.0,1.0,,1.0,0.0,2.0,2.0,,"C St D Street Alley, Sacramento, California 95811, United States",Unknown
144233.0,"""The Somerset 1st Floor Garage""",40.767335,-73.953825,2.0,8.0,0.0,0.0,10.0,0.0,0.0,20.0,0.0,1.0,,1.0,0.0,83.0,2.0,,"1365 York Avenue, New York, New York 10021, United States",building: The Somerset
125846.0,"""Cuyama Buckhorn - Tesla Destination""",34.94743,-119.69066,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,,2.0,1.0,17.0,0.0,,"15 Pato Avenue, New Cuyama, California 93254, United States",Unknown
101358.0,"""6201 West Plano Parkway""",33.020994,-96.833641,0.0,2.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,1.0,,1.0,0.0,2.0,2.0,,"6201 West Plano Parkway, Plano, Texas 75093, United States",Unknown
47943.0,"""801 Locust Street""",41.586647,-93.628239,0.0,10.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,1.0,,1.0,0.0,2.0,2.0,,"801 Locust Street, Des Moines, Iowa 50309, United States",9th & Locust Parking Garage
143461.0,"""7-Eleven - Punta Gorda FL""",26.89558,-81.99605,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,,1.0,0.0,76.0,2.0,,"26920 Jones Loop Road, Punta Gorda, Florida 33982, United States",Unknown
130642.0,"""Hwy 83 Leisure & Tools""",47.65045046,-101.2926124,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,1.0,0.0,17.0,2.0,,"1619 Highway 83 NW, Garrison, North Dakota 58540, United States",Unknown
139952.0,"""1742 Magnolia Road""",29.6305948,-84.929035,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,,1.0,0.0,66.0,2.0,,"1704 Magnolia Road, Eastpoint, Florida 32328, United States",Unknown
150817.0,"""Vern Eide Hyundai Sioux City""",42.438618,-96.349118,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,,1.0,0.0,2.0,2.0,,"4251 South Lakeport Street, Sioux City, Iowa 51106, United States",shop: Vern Eide Honda
156670.0,"""Yuengling Tampa Campus""",28.05046,-82.425597,0.0,3.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,,1.0,0.0,6.0,1.0,,"11109 North 30th Street, Tampa, Florida 33612, United States",Unknown
158789.0,"""Ford Charge - Woody Anderson Ford""",34.75723182,-86.6386261,0.0,0.0,0.0,10.0,0.0,0.0,4.0,6.0,0.0,0.0,,1.0,0.0,124.0,1.0,,"5000 Sparkman Drive Northwest, Huntsville, Alabama 35810, United States",shop: Woody Anderson Ford
116759.0,"""EVolve NY Riverhead""",40.91888,-72.66044,0.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,,1.0,0.0,26.0,2.0,,"215 East Avenue, Riverhead, New York 11901, United States",Unknown
137849.0,"""Parkview Lofts""",41.6841,-91.55979,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,,1.0,0.0,2.0,2.0,,"1010 Quarry Lane, Coralville, Iowa 52241, United States",Unknown
113595.0,"""Wolf Den""",46.448538,-120.430957,0.0,3.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,,1.0,0.0,2.0,2.0,,"61 West Wapato Road, Wapato, Washington 98951, United States",shop: Indian Smoke Shop
97585.0,"""Publix #1588""",37.5569,-77.48806,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,,1.0,0.0,17.0,1.0,,"3533 Ellwood Avenue, Richmond, Virginia 23221, United States",shop: Publix
152408.0,"""Rock-It Cargo USA LLC""",40.17458,-76.31388,0.0,1.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0,0.0,,1.0,0.0,22.0,2.0,,"150 Rock Lititz Boulevard, Lititz, Pennsylvania 17543, United States",Unknown
50473.0,"""Bloomfield Human Services Center""",41.8234945,-72.712466,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,,1.0,0.0,1.0,2.0,,"325 Park Avenue, Bloomfield, Connecticut 06002, United States",Bloomfield Public Schools
54021.0,"""Boston University Medical Campus - Boston MA""",42.334867,-71.070688,0.0,3.0,5.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,,1.0,0.0,2.0,2.0,,"710 Albany Street, Boston, Massachusetts 02118, United States",Parking Garage
126583.0,"""Corral de Tierra Country Club - Tesla Destination""",36.56728597,-121.7307143,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,1.0,1.0,12.0,0.0,,"81 Corral De Tierra Road, Salinas, California 93908, United States",leisure: Corral de Tierra Country Club
98852.0,"""Madison - S Livingston WI Supercharger""",43.080664,-89.374927,10.0,4.0,1.0,0.0,1.0,0.0,16.0,0.0,0.0,1.0,,2.0,8.0,12.0,2.0,,"20 South Livingston Street, Madison, Wisconsin 53703, United States",Electric Vehicle Charging Hub
38359.0,"""Oracle""",37.391705,-121.95375,0.0,3.0,3.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,,1.0,0.0,2.0,1.0,,"4220 Network Circle, Santa Clara, California 95054, United States",Unknown
115189.0,"""Watson's Manistee Chrysler""",44.26580099,-86.31185559,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,1.0,0.0,17.0,2.0,,"208 West Parkdale Road, Manistee, Michigan 49660, United States",Unknown
45421.0,"""O'Brien Estates""",38.34591,-122.33966,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,,1.0,2.0,12.0,0.0,,"1200 Orchard Avenue, Napa, California 94558, United States",Unknown
79719.0,"""1150 Main Street""",42.043453,-70.88276,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,,1.0,0.0,2.0,2.0,,"1150 Main Street, Hanson, Massachusetts 02341, United States",Unknown
147441.0,"""Westgate Lofts Downtown""",40.765243,-111.901206,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,,1.0,0.0,1.0,2.0,,"328 West 200 South, Salt Lake City, Utah 84101, United States",Maxwell’s
136946.0,"""206 Silverbrook Road""",46.535844,-121.958906,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,,1.0,0.0,2.0,2.0,,"210 Silverbrook Road, Randle, Washington 98377, United States",Unknown
89152.0,"""Overlook One and Overlook Two""",38.9544612,-77.3574295,0.0,1.0,4.0,0.0,3.0,0.0,0.0,8.0,0.0,1.0,,1.0,0.0,1.0,2.0,,"12011 Sunset Hills Road, Reston, Virginia 20190, United States",building: One Reston Overlook
159487.0,"""Back of the Dragon - Tesla Destination""",37.114448,-81.5272,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,1.0,1.0,12.0,0.0,,"592 Main Street, Tazewell, Virginia 24651, United States",Unknown
92591.0,"""Kaiser Permanente Stockdale Medical Offices""",35.35377,-119.0432,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,,1.0,0.0,26.0,2.0,,"31 South Real Road, Bakersfield, California 93309, United States",Unknown
66609.0,"""Martinrea Technical Center""",42.6728677,-83.243275,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,1.0,0.0,0.0,0.0,,"2100 North Opdyke Road, Auburn Hills, Michigan 48326, United States",building: Martinrea Technical Center
164705.0,"""El Nido Substation""",33.8959082,-118.3729719,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,"5325 Marine Avenue, Hawthorne, California 90260, United States",Unknown
77930.0,"""12-22 North Coworking""",44.48456568,-73.22175696,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,1.0,0.0,17.0,2.0,,"12 North Street, Burlington, Vermont 05401, United States",shop: Brian's Auto
161646.0,"""Taubman International Plaza (Tampa FL)""",27.96229,-82.52146,0.0,0.0,0.0,6.0,0.0,0.0,6.0,0.0,0.0,0.0,,1.0,0.0,26.0,2.0,,"International Plaza, Tampa, Florida 33607, United States",Unknown
43707.0,"""Sheridan WY Supercharger""",44.804565,-106.956363,0.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,,1.0,4.0,12.0,2.0,,"644 North Main Street, Sheridan, Wyoming 82801, United States",Tesla Supercharger
159083.0,"""Hilton Stamford Hotel & Executive Meeting Center - Tesla Destination""",41.04294,-73.550257,0.0,0.0,0.0,8.0,0.0,0.0,0.0,8.0,0.0,0.0,,1.0,0.0,17.0,0.0,,"240 Fairfield Avenue, Stamford, Connecticut 06902, United States",tourism: Hilton Stamford Hotel & Executive Meeting Center
